Candidate_ID,Gender,Age,Education_Level,Experience_Years,Skill_Score,Aptitude_Test_Score,Technical_Test_Score,Communication_Score,Certifications_Count,Previous_Companies,Interview_Score,Location,Job_Role_Applied,Expected_Salary,Hiring_Decision
32,Male,56,Diploma,19,71,36,42,95,7.0,6,66,Urban,Data Analyst,23159,0
33,Male,44,High School,5,46,96,3,43,7.0,6,27,Rural,Software Engineer,125450,0
34,Female,46,Masters,12,7,7,35,46,8.0,7,15,Urban,Data Analyst,73902,0
35,Other,51,High School,7,29,46,83,37,7.0,4,8,Urban,Manager,72239,0
36,Female,47,Bachelors,15,3,36,11,35,9.0,3,53,Urban,Software Engineer,54044,0
37,Male,48,Bachelors,11,66,30,79,59,2.0,6,76,Semi-Urban,HR Executive,59427,1
38,Male,51,Diploma,2,75,82,81,81,2.0,0,40,Rural,Data Analyst,28613,1
39,Female,31,Bachelors,11,14,22,98,39,8.0,0,44,Urban,Manager,135418,0
40,Male,50,Bachelors,13,13,73,85,86,4.0,3,45,Urban,HR Executive,100863,0
41,Male,33,Bachelors,0,0,79,64,26,0.0,2,23,Rural,Software Engineer,99294,0
42,Male,32,Diploma,12,23,0,57,96,2.0,6,39,Urban,Software Engineer,87062,0
43,Male,50,High School,9,38,34,62,1,2.0,7,25,Rural,Data Analyst,46921,0
44,Female,29,Diploma,7,40,1,13,79,8.0,2,6,Semi-Urban,Manager,133236,0
45,Male,59,Diploma,8,84,53,27,19,6.0,5,38,Semi-Urban,HR Executive,33095,0
46,Female,24,Bachelors,10,96,52,99,48,8.0,3,6,Rural,ML Engineer,42773,1
47,Male,33,Bachelors,0,23,90,35,66,9.0,6,17,Rural,Software Engineer,31560,0
48,Male,37,Diploma,19,58,35,0,31,5.0,3,27,Semi-Urban,Data Analyst,93695,0
49,Male,21,Masters,18,19,82,38,86,9.0,0,60,Rural,ML Engineer,147464,0
50,Male,36,Bachelors,18,13,64,26,7,6.0,2,53,Urban,Software Engineer,126798,0
51,Other,30,Masters,1,86,25,73,60,6.0,7,60,Urban,HR Executive,71770,1
52,Female,22,Diploma,13,73,25,43,46,2.0,3,13,Rural,HR Executive,87625,0
53,Female,31,Bachelors,17,93,80,97,37,3.0,0,55,Semi-Urban,ML Engineer,141457,1
54,Female,23,Diploma,4,52,15,11,9,7.0,7,10,Urban,Manager,149712,0
55,Male,28,Diploma,9,13,44,37,58,9.0,1,15,Urban,ML Engineer,147446,0
56,Female,36,Bachelors,12,64,79,23,82,4.0,4,90,Semi-Urban,Manager,26552,1
57,Male,29,Bachelors,17,25,77,91,31,8.0,0,39,Rural,Data Analyst,68259,0
58,Male,47,Bachelors,4,30,25,72,83,8.0,5,10,Urban,Manager,127740,0
59,Male,42,Masters,10,4,75,20,44,9.0,6,7,Rural,ML Engineer,76056,0
60,Male,47,High School,13,56,79,19,36,9.0,3,12,Semi-Urban,HR Executive,61312,0
61,Male,58,Masters,14,59,1,4,69,6.0,0,63,Rural,HR Executive,109326,0
62,Male,26,Bachelors,18,21,15,68,52,4.0,1,6,Urban,ML Engineer,127167,0
63,Female,41,High School,18,95,52,17,37,3.0,3,79,Rural,Manager,24417,1
64,Male,54,Diploma,5,11,40,39,12,7.0,7,61,Semi-Urban,ML Engineer,79217,0
65,Male,27,Masters,0,9,56,16,65,8.0,7,57,Urban,Manager,105603,0
66,Male,30,Masters,17,63,94,79,97,4.0,3,19,Urban,ML Engineer,44757,1
67,Male,36,Bachelors,16,7,91,89,37,9.0,7,14,Rural,Manager,36243,0
68,Female,54,Diploma,0,68,21,96,51,1.0,0,3,Urban,Data Analyst,40152,0
69,Male,48,Bachelors,3,13,7,31,16,3.0,6,61,Semi-Urban,Software Engineer,102828,0
70,Other,54,Diploma,12,15,4,60,80,8.0,6,75,Semi-Urban,HR Executive,126867,0
71,Female,27,Bachelors,16,34,21,60,40,4.0,0,3,Rural,Software Engineer,123352,0
72,Male,29,Masters,6,1,77,81,16,3.0,4,4,Urban,Data Analyst,24063,0
73,Male,46,High School,4,49,20,18,94,9.0,4,36,Urban,Software Engineer,97945,0
74,Female,38,High School,8,48,76,19,50,0.0,0,98,Rural,Software Engineer,49330,1
75,Female,30,Bachelors,6,28,25,87,15,6.0,7,91,Urban,Software Engineer,99903,0
76,Female,49,Masters,9,16,7,52,32,8.0,0,0,Urban,HR Executive,46165,0
77,Female,34,Bachelors,3,1,73,43,72,6.0,5,34,Rural,ML Engineer,54360,0
78,Male,34,Bachelors,13,78,68,48,86,1.0,2,82,Semi-Urban,Manager,103369,1
79,Male,58,Bachelors,0,96,48,67,5,2.0,4,84,Urban,Software Engineer,146330,1
80,Male,28,Bachelors,1,27,55,20,38,9.0,1,74,Urban,Software Engineer,93079,0
81,Female,30,Bachelors,12,92,81,76,27,9.0,0,18,Urban,Data Analyst,73570,1
82,Female,49,Diploma,10,47,69,80,10,4.0,5,76,Semi-Urban,ML Engineer,119166,1
83,Male,39,High School,9,18,10,51,47,2.0,4,37,Urban,HR Executive,117818,0
84,Male,59,Diploma,5,97,99,77,21,4.0,2,18,Semi-Urban,Data Analyst,108624,1
85,Male,56,Bachelors,12,96,83,90,87,2.0,7,65,Semi-Urban,ML Engineer,135243,1
86,Male,38,Masters,7,26,32,57,26,0.0,4,43,Urban,ML Engineer,84050,0
87,Female,51,Masters,13,13,57,90,30,4.0,1,1,Urban,Manager,113116,0
88,Female,34,Masters,15,98,9,0,14,7.0,3,2,Urban,HR Executive,132543,0
89,Female,44,Bachelors,2,14,51,99,36,7.0,7,49,Semi-Urban,HR Executive,72218,0
90,Male,49,Masters,9,56,17,98,91,9.0,6,63,Rural,ML Engineer,98059,0
91,Male,54,High School,4,27,28,48,14,8.0,0,71,Urban,Data Analyst,120958,0
92,Female,25,Bachelors,10,56,24,30,10,0.0,7,41,Urban,Manager,134203,0
93,Female,51,Bachelors,14,10,52,3,1,6.0,0,76,Rural,HR Executive,107409,0
94,Male,27,PhD,0,11,47,25,15,3.0,2,3,Urban,ML Engineer,100395,0
95,Female,42,Masters,6,86,45,78,80,7.0,3,98,Rural,ML Engineer,94625,1
96,Male,37,Masters,14,23,79,82,67,7.0,7,60,Urban,Software Engineer,94330,1
97,Male,21,Masters,4,65,50,79,71,2.0,5,7,Semi-Urban,Manager,65524,0
98,Male,52,Masters,1,32,38,47,81,9.0,2,79,Semi-Urban,ML Engineer,137355,0
99,Male,23,Bachelors,4,0,22,81,82,0.0,3,37,Urban,Manager,112174,0
100,Male,48,Bachelors,17,48,3,29,99,5.0,5,0,Rural,Manager,24083,0
101,Male,35,Bachelors,3,36,85,29,54,5.0,5,3,Urban,ML Engineer,85554,0
102,Female,59,Bachelors,5,60,91,84,74,3.0,1,61,Rural,ML Engineer,89156,1
103,Male,42,Masters,8,92,53,69,56,9.0,3,41,Urban,ML Engineer,137289,1
104,Male,39,Diploma,2,85,42,43,23,8.0,7,28,Urban,Software Engineer,37811,0
105,Female,48,Masters,9,68,37,42,30,7.0,6,4,Urban,ML Engineer,66318,0
106,Male,38,Bachelors,16,61,21,43,15,7.0,3,15,Semi-Urban,ML Engineer,32188,0
107,Male,31,Bachelors,18,5,73,91,10,7.0,7,72,Urban,Data Analyst,146986,1
108,Female,33,Masters,6,93,27,88,29,9.0,3,6,Rural,Manager,29489,0
109,Male,59,High School,12,74,96,93,91,9.0,2,92,Urban,Manager,93139,1
110,Male,48,Masters,14,0,42,97,85,4.0,1,57,Urban,Manager,53256,0
111,Male,22,High School,4,50,99,53,92,7.0,0,50,Urban,Data Analyst,21223,1
112,Male,55,Diploma,4,51,55,29,6,4.0,5,9,Semi-Urban,Manager,70065,0
113,Female,50,Bachelors,10,10,17,73,10,3.0,0,79,Urban,Data Analyst,129868,0
114,Female,48,Bachelors,8,90,55,14,84,9.0,4,32,Urban,ML Engineer,142212,0
115,Female,59,Bachelors,4,25,12,12,75,8.0,7,74,Urban,HR Executive,132358,0
116,Female,53,Diploma,11,18,29,11,18,4.0,4,93,Semi-Urban,Data Analyst,128181,0
117,Female,51,Bachelors,1,30,85,40,87,6.0,6,38,Urban,Manager,63119,0
118,Male,51,Diploma,3,4,89,67,93,1.0,1,90,Rural,Software Engineer,139516,1
119,Female,30,Bachelors,8,63,46,21,70,8.0,6,14,Urban,HR Executive,54632,0
120,Male,38,Bachelors,1,98,69,33,17,5.0,5,69,Semi-Urban,HR Executive,55687,1
121,Female,51,Bachelors,7,73,89,65,49,1.0,2,98,Urban,Manager,31498,1
122,Female,21,Bachelors,5,48,12,0,52,5.0,6,44,Urban,Manager,102535,0
123,Male,46,Bachelors,9,96,38,97,47,5.0,4,32,Urban,Software Engineer,118568,1
124,Male,35,Masters,3,44,72,38,66,7.0,0,23,Urban,HR Executive,89925,0
125,Male,27,Masters,4,97,0,11,83,5.0,6,47,Urban,Data Analyst,47705,0
126,Male,40,PhD,13,3,81,54,55,1.0,6,47,Semi-Urban,HR Executive,78265,0
127,Female,41,Masters,0,61,55,37,75,1.0,6,74,Rural,Manager,115544,0
128,Female,32,Diploma,6,25,89,66,60,6.0,4,42,Rural,Data Analyst,28382,0
129,Male,42,Bachelors,14,96,80,90,97,0.0,4,82,Semi-Urban,Data Analyst,55363,1
130,Male,29,Bachelors,9,70,39,76,92,6.0,0,78,Semi-Urban,ML Engineer,53463,1
131,Male,33,Masters,8,28,38,80,27,6.0,3,49,Rural,HR Executive,63925,0
132,Male,55,Diploma,11,22,86,24,38,4.0,4,58,Urban,ML Engineer,117181,0
133,Male,31,High School,13,37,71,47,50,6.0,2,92,Semi-Urban,Manager,146134,1
134,Male,34,Diploma,0,33,34,78,62,8.0,5,61,Semi-Urban,HR Executive,83733,0
135,Female,51,Diploma,2,95,91,13,21,8.0,6,25,Urban,Data Analyst,73797,0
136,Male,23,Bachelors,13,83,49,50,33,7.0,5,78,Rural,Manager,73948,1
137,Male,56,Bachelors,9,3,33,70,88,1.0,6,17,Semi-Urban,ML Engineer,110935,0
138,Female,43,High School,18,70,19,32,59,9.0,2,51,Urban,ML Engineer,73998,0
139,Male,42,Masters,3,82,47,88,52,7.0,3,36,Urban,ML Engineer,125113,1
140,Other,35,Bachelors,7,29,29,12,2,3.0,0,91,Urban,Manager,40526,0
141,Other,51,Bachelors,11,82,26,71,66,9.0,2,26,Semi-Urban,Manager,70376,0
142,Male,34,Masters,2,93,36,5,84,6.0,2,38,Urban,HR Executive,128591,0
143,Male,50,Masters,8,40,96,66,31,4.0,7,45,Urban,Software Engineer,25430,1
144,Male,44,Bachelors,6,91,99,34,74,5.0,7,53,Urban,Software Engineer,61638,1
145,Male,39,Bachelors,3,13,36,21,46,0.0,6,55,Urban,Software Engineer,88349,0
146,Male,27,Diploma,3,98,71,56,96,6.0,2,27,Urban,Software Engineer,60928,1
147,Female,38,Bachelors,7,67,94,50,51,1.0,7,55,Urban,Data Analyst,41434,1
148,Male,31,Bachelors,2,31,6,66,52,0.0,2,45,Rural,Manager,75907,0
149,Male,45,Masters,6,38,96,39,33,4.0,3,11,Urban,Data Analyst,57299,0
150,Male,59,Masters,4,5,93,2,83,8.0,3,48,Semi-Urban,HR Executive,88131,0
151,Female,50,Bachelors,19,56,67,96,39,3.0,4,81,Rural,HR Executive,113279,1
152,Male,32,Masters,15,32,5,86,69,2.0,6,5,Urban,Data Analyst,133397,0
153,Male,41,Bachelors,12,97,26,61,29,6.0,7,51,Urban,Software Engineer,26201,1
154,Male,30,High School,18,18,88,53,64,5.0,4,72,Urban,HR Executive,45143,0
155,Other,54,Masters,11,32,99,19,72,2.0,7,86,Urban,Software Engineer,108786,0
156,Male,45,Diploma,17,61,36,54,12,6.0,3,36,Urban,Manager,127290,0
157,Female,43,Diploma,19,38,6,80,70,4.0,0,1,Urban,Software Engineer,84330,0
158,Female,31,Bachelors,13,31,79,15,63,9.0,3,36,Rural,HR Executive,94914,0
159,Male,53,Bachelors,17,63,15,39,84,8.0,2,31,Semi-Urban,Data Analyst,37184,0
160,Female,57,Bachelors,8,84,68,46,4,1.0,4,48,Rural,Data Analyst,24604,1
161,Male,41,Masters,14,71,97,98,64,9.0,2,22,Rural,ML Engineer,114274,1
162,Female,52,Diploma,6,93,14,38,33,1.0,1,44,Urban,HR Executive,26489,0
163,Female,42,Diploma,2,47,45,76,78,2.0,6,98,Urban,Manager,43673,1
164,Male,37,Masters,16,85,6,73,44,5.0,1,1,Urban,ML Engineer,120248,0
165,Male,56,Diploma,18,84,13,2,51,8.0,0,67,Urban,HR Executive,39331,0
166,Female,48,High School,2,12,2,40,53,5.0,7,1,Urban,HR Executive,129792,0
167,Male,37,Masters,9,15,60,23,62,5.0,3,72,Urban,Software Engineer,34788,0
168,Male,34,Bachelors,14,56,81,66,53,0.0,3,30,Urban,ML Engineer,134108,0
169,Male,47,PhD,12,11,54,57,7,3.0,5,66,Urban,Data Analyst,52122,0
170,Male,27,PhD,14,59,33,29,92,0.0,3,32,Urban,Manager,138742,0
171,Female,51,Diploma,3,28,71,34,32,8.0,4,27,Urban,Data Analyst,109767,0
172,Male,32,High School,6,61,74,60,56,2.0,4,80,Urban,Software Engineer,109641,1
173,Male,22,Bachelors,4,64,94,9,45,1.0,0,76,Rural,ML Engineer,30404,1
174,Male,42,Bachelors,8,75,6,66,58,2.0,6,94,Urban,ML Engineer,94000,1
175,Female,28,Masters,1,78,80,56,10,3.0,7,37,Rural,HR Executive,25593,1
176,Male,36,Bachelors,4,39,21,70,58,9.0,0,17,Urban,Software Engineer,127259,0
177,Female,45,High School,15,8,35,43,95,7.0,1,91,Semi-Urban,Manager,113088,0
178,Male,23,Masters,13,24,56,46,7,3.0,0,10,Rural,Data Analyst,61075,0
179,Female,50,Bachelors,2,2,52,3,72,8.0,2,52,Semi-Urban,HR Executive,45530,0
180,Male,39,High School,19,5,62,75,71,2.0,1,79,Semi-Urban,ML Engineer,69144,0
181,Male,49,Bachelors,12,18,89,19,99,0.0,0,15,Rural,Data Analyst,47496,0
182,Male,25,Diploma,3,73,76,5,44,4.0,1,67,Semi-Urban,HR Executive,76691,0
183,Female,40,Diploma,6,3,64,69,67,9.0,2,38,Rural,Software Engineer,111087,0
184,Female,53,Masters,13,19,8,59,97,6.0,5,65,Urban,Software Engineer,146964,0
185,Male,21,High School,14,14,29,42,35,5.0,7,12,Rural,Software Engineer,111702,0
186,Female,52,High School,19,12,32,99,9,4.0,2,66,Urban,Software Engineer,46292,0
187,Female,49,Bachelors,19,22,83,6,35,2.0,7,87,Urban,Software Engineer,110537,0
188,Male,58,Diploma,10,12,34,81,94,1.0,6,71,Rural,ML Engineer,98550,0
189,Male,43,Bachelors,4,90,22,90,49,0.0,3,1,Semi-Urban,HR Executive,37348,0
190,Male,30,Bachelors,2,29,40,68,58,7.0,0,37,Semi-Urban,ML Engineer,126553,0
191,Male,32,PhD,3,80,60,50,61,8.0,1,41,Urban,Manager,23558,0
192,Female,55,Bachelors,5,2,72,80,64,5.0,4,14,Urban,Manager,118881,0
193,Female,29,Bachelors,18,87,38,26,86,3.0,4,76,Urban,Manager,46229,0
194,Female,31,Diploma,8,52,63,2,84,7.0,7,68,Semi-Urban,Data Analyst,41702,0
195,Male,31,Diploma,12,29,34,49,8,8.0,5,88,Rural,ML Engineer,66629,0
196,Male,58,High School,11,95,90,22,4,0.0,1,83,Urban,ML Engineer,49748,1
197,Female,24,High School,18,81,61,25,13,6.0,6,35,Urban,HR Executive,46061,0
198,Female,39,High School,7,64,42,29,4,6.0,0,9,Urban,Software Engineer,112952,0
199,Female,41,High School,0,19,14,79,64,8.0,2,45,Rural,Software Engineer,79833,0
200,Female,26,Bachelors,5,23,43,3,68,8.0,6,87,Urban,HR Executive,40479,0
201,Female,43,Diploma,1,5,86,70,55,6.0,4,66,Urban,Manager,93720,0
202,Male,59,High School,13,61,99,65,40,2.0,7,98,Urban,Software Engineer,67482,1
203,Male,27,Bachelors,14,54,83,17,2,2.0,5,37,Urban,ML Engineer,76934,0
204,Female,56,Bachelors,1,82,8,55,92,9.0,3,42,Urban,Software Engineer,36784,0
205,Female,59,Bachelors,15,73,61,80,81,9.0,5,24,Urban,ML Engineer,141577,0
206,Male,35,Bachelors,0,81,85,43,97,7.0,1,98,Urban,Manager,103820,1
207,Male,29,Bachelors,15,75,21,36,25,4.0,6,97,Urban,Software Engineer,23237,0
208,Female,42,Diploma,11,23,34,82,42,7.0,1,21,Urban,HR Executive,115642,0
209,Male,31,Bachelors,8,70,51,12,25,5.0,3,91,Urban,ML Engineer,35460,0
210,Male,55,Masters,7,56,87,69,40,7.0,3,65,Urban,Manager,93086,1
211,Male,37,Bachelors,1,17,85,72,69,1.0,6,68,Rural,Data Analyst,58605,1
212,Female,29,PhD,4,86,71,84,43,5.0,3,13,Semi-Urban,Manager,134506,1
213,Female,54,Diploma,18,18,14,6,13,1.0,2,60,Semi-Urban,Software Engineer,122305,0
214,Male,39,Bachelors,6,38,84,66,23,9.0,3,0,Semi-Urban,ML Engineer,65289,0
215,Female,50,Masters,10,51,25,64,49,1.0,1,51,Rural,Manager,75821,0
216,Male,42,Diploma,6,45,93,35,70,8.0,6,71,Urban,HR Executive,113739,1
217,Male,46,High School,14,75,27,23,12,7.0,3,3,Urban,HR Executive,84361,0
218,Female,50,Masters,11,51,73,71,29,4.0,4,49,Rural,HR Executive,41844,1
219,Female,32,Bachelors,8,54,28,45,10,0.0,7,21,Urban,Software Engineer,33731,0
220,Female,56,Bachelors,0,55,19,55,53,5.0,3,36,Urban,Software Engineer,114751,0
221,Female,27,Bachelors,15,42,47,56,59,2.0,5,14,Rural,Software Engineer,100898,0
222,Male,22,Bachelors,0,29,96,26,92,4.0,2,53,Urban,Software Engineer,105892,0
223,Male,41,Bachelors,12,34,20,39,98,0.0,6,43,Rural,Manager,108323,0
224,Male,47,High School,12,97,86,79,84,1.0,4,66,Urban,ML Engineer,90185,1
225,Male,21,PhD,19,44,46,46,66,6.0,3,99,Urban,Software Engineer,64830,1
226,Male,34,Bachelors,19,45,44,7,60,1.0,2,82,Urban,Software Engineer,80110,0
227,Other,22,Bachelors,2,61,5,20,70,7.0,6,18,Urban,ML Engineer,131508,0
228,Male,43,High School,0,55,41,81,51,0.0,1,80,Urban,HR Executive,63559,1
229,Female,46,Bachelors,12,21,47,37,0,9.0,5,96,Semi-Urban,Data Analyst,133672,0
230,Female,45,Bachelors,8,5,93,65,0,6.0,4,63,Rural,HR Executive,107141,0
231,Female,35,Bachelors,5,1,80,50,50,0.0,4,1,Semi-Urban,Manager,83110,0
232,Male,49,Diploma,15,13,50,75,19,8.0,3,10,Urban,ML Engineer,90100,0
233,Male,48,Diploma,10,15,53,32,38,6.0,0,6,Semi-Urban,ML Engineer,72397,0
234,Male,59,Diploma,11,69,68,5,60,4.0,2,30,Semi-Urban,Manager,33225,0
235,Male,24,Bachelors,12,29,53,72,13,8.0,2,21,Urban,Data Analyst,124929,0
236,Female,50,Diploma,4,14,25,29,12,0.0,4,59,Urban,HR Executive,83599,0
237,Male,30,Bachelors,15,38,52,25,60,8.0,0,48,Rural,HR Executive,136968,0
238,Male,30,Bachelors,16,9,14,35,3,0.0,0,68,Semi-Urban,HR Executive,51924,0
239,Female,42,Diploma,0,78,69,96,47,0.0,5,97,Urban,HR Executive,32289,1
240,Male,36,Diploma,15,40,15,33,96,5.0,7,14,Urban,HR Executive,89594,0
241,Female,59,Bachelors,15,49,61,6,54,7.0,3,1,Urban,Software Engineer,51818,0
242,Other,33,Masters,5,83,61,36,59,8.0,6,41,Urban,Software Engineer,111900,0
243,Female,59,Bachelors,9,2,98,35,55,3.0,3,83,Semi-Urban,ML Engineer,47927,0
244,Male,50,Bachelors,10,32,79,62,99,2.0,2,11,Urban,HR Executive,138602,0
245,Male,33,Bachelors,17,84,42,8,2,0.0,2,51,Urban,ML Engineer,81164,0
246,Female,46,Bachelors,19,7,59,83,86,3.0,3,65,Urban,Software Engineer,116646,0
247,Male,51,Bachelors,19,82,24,50,15,7.0,7,45,Urban,ML Engineer,22751,0
248,Other,59,Bachelors,17,23,57,85,96,1.0,6,72,Semi-Urban,Manager,47078,0
249,Other,47,Bachelors,15,9,18,11,67,5.0,7,29,Semi-Urban,Data Analyst,100288,0
250,Female,24,Bachelors,15,40,6,39,13,5.0,4,81,Rural,Manager,51430,0
251,Male,32,High School,1,1,18,2,69,5.0,5,79,Urban,Software Engineer,71773,0
252,Male,55,Diploma,2,55,28,34,40,4.0,0,88,Urban,Software Engineer,70150,0
253,Female,59,Bachelors,9,5,37,18,59,4.0,2,11,Urban,Manager,119954,0
254,Male,21,Masters,1,21,96,64,75,9.0,6,29,Urban,Manager,112332,0
255,Male,36,High School,18,51,76,52,48,9.0,6,22,Rural,Data Analyst,72631,0
256,Male,42,Masters,1,65,33,77,88,8.0,5,60,Rural,HR Executive,115011,1
257,Female,56,Bachelors,19,33,7,87,88,5.0,4,61,Urban,HR Executive,63624,0
258,Female,54,Bachelors,14,79,84,44,58,6.0,4,89,Semi-Urban,Manager,70407,1
259,Male,42,Bachelors,13,49,79,93,49,5.0,0,56,Semi-Urban,Manager,72466,1
260,Male,34,Bachelors,9,99,10,10,53,4.0,7,12,Urban,Manager,143401,0
261,Female,23,High School,3,9,67,26,56,5.0,1,46,Urban,ML Engineer,118119,0
262,Other,58,Diploma,17,15,59,38,94,1.0,3,79,Urban,Software Engineer,32574,0
263,Male,33,Bachelors,11,31,64,71,48,0.0,5,42,Urban,Data Analyst,129433,0
264,Male,22,Bachelors,3,26,79,26,71,9.0,7,60,Semi-Urban,HR Executive,22235,0
265,Female,29,Bachelors,6,77,52,35,99,3.0,0,37,Urban,ML Engineer,53402,0
266,Female,55,Diploma,11,81,51,25,69,5.0,0,60,Rural,HR Executive,131761,0
267,Female,47,Bachelors,11,36,52,35,63,9.0,2,10,Urban,HR Executive,95730,0
268,Female,40,High School,7,83,33,97,31,5.0,7,49,Semi-Urban,ML Engineer,117147,1
269,Male,41,High School,13,64,70,33,2,7.0,7,14,Urban,HR Executive,84219,0
270,Male,26,Diploma,4,91,56,52,75,1.0,5,26,Urban,Data Analyst,141926,0
271,Female,49,Bachelors,0,94,36,97,35,0.0,0,67,Urban,ML Engineer,46109,1
272,Female,42,Masters,18,35,99,80,82,1.0,7,5,Rural,Data Analyst,72558,0
273,Female,55,Masters,12,19,59,61,41,0.0,2,30,Semi-Urban,Manager,117810,0
274,Female,57,High School,19,84,21,23,13,4.0,6,79,Semi-Urban,HR Executive,76610,0
275,Male,43,Diploma,11,32,23,46,7,2.0,1,5,Urban,Software Engineer,139611,0
276,Male,49,Bachelors,11,24,48,53,70,5.0,4,89,Urban,Software Engineer,78995,0
277,Female,47,Masters,4,99,13,39,97,5.0,5,59,Urban,Software Engineer,94095,0
278,Female,35,Bachelors,14,55,15,81,55,6.0,1,6,Urban,HR Executive,129492,0
279,Female,55,Bachelors,17,94,91,97,21,3.0,2,4,Urban,ML Engineer,126554,1
280,Female,47,Masters,3,93,97,63,53,3.0,4,77,Semi-Urban,HR Executive,28831,1
281,Female,32,Diploma,1,12,68,75,64,1.0,0,7,Rural,Software Engineer,83243,0
282,Male,28,Masters,8,73,80,81,42,7.0,0,66,Urban,Software Engineer,100435,1
283,Male,54,Masters,16,69,81,22,6,2.0,1,13,Urban,ML Engineer,140810,0
284,Male,36,Bachelors,4,28,50,94,37,0.0,7,34,Rural,ML Engineer,110786,0
285,Male,56,Bachelors,4,18,84,50,24,1.0,7,59,Rural,Data Analyst,31188,0
286,Male,37,Bachelors,2,20,36,42,9,1.0,0,47,Urban,ML Engineer,27332,0
287,Male,45,Diploma,17,45,34,44,26,2.0,5,30,Semi-Urban,HR Executive,76322,0
288,Male,46,Bachelors,18,14,61,49,36,2.0,0,21,Semi-Urban,Manager,112976,0
289,Male,37,Bachelors,3,34,3,2,36,9.0,3,17,Rural,HR Executive,26311,0
290,Male,58,Bachelors,6,53,74,66,23,1.0,3,76,Urban,Software Engineer,123183,1
291,Male,58,Bachelors,15,90,91,26,8,2.0,6,15,Urban,Manager,22601,0
292,Male,32,Masters,7,59,92,70,57,8.0,3,95,Rural,Manager,91108,1
293,Female,33,High School,19,54,52,4,29,2.0,7,11,Rural,Manager,134521,0
294,Male,26,Masters,9,22,14,41,82,7.0,2,55,Urban,Data Analyst,119150,0
295,Male,29,Bachelors,11,42,47,20,73,7.0,3,72,Urban,HR Executive,43348,0
296,Male,42,Masters,13,46,69,53,61,2.0,1,24,Urban,HR Executive,46544,0
297,Female,23,Masters,5,16,55,4,69,8.0,1,1,Urban,ML Engineer,148495,0
298,Male,46,High School,7,70,89,14,35,9.0,3,76,Urban,Software Engineer,62926,1
299,Female,54,Bachelors,9,21,68,54,99,2.0,7,71,Urban,ML Engineer,124888,0
